room_id,room_name,lodging_id,lodging_name,cleaning_time,cleaning_cart_cost,location
53,0,38,Family Room,0,0,0
54,1,41,Double Bed Room (Private),0,0,0
55,2,41,Double Bed Room (Private),0,0,0
56,3,46,Single Room,0,0,0
57,4,46,Single Room,0,0,0
58,5,41,Double Bed Room (Private),0,0,0
59,6,41,Double Bed Room (Private),0,0,0
60,7,41,Double Bed Room (Private),0,0,0
62,9,41,Double Bed Room (Private),0,0,0
63,10,41,Double Bed Room (Private),0,0,0
65,12,41,Double Bed Room (Private),0,0,0
66,14,40,Twin Bed (Shared),0,0,0
67,15,40,Twin Bed (Shared),0,0,0
70,18,37,Bayside Room with Bathroom (Shared),0,0,0
71,19,37,Bayside Room with Bathroom (Shared),0,0,0
72,20,37,Bayside Room with Bathroom (Shared),0,0,0
73,21,46,Single Room,0,0,0
74,22,40,Twin Bed (Shared),0,0,0
77,23a,37,Bayside Room with Bathroom (Shared),0,0,0
78,23b,37,Bayside Room with Bathroom (Shared),0,0,0
76,25,46,Single Room,0,0,0
5993,Ashram Ground Tent 1,5991,Ashram Supplied Ground Tent,0,0,0
5995,Ashram Ground Tent 2,5991,Ashram Supplied Ground Tent,0,0,0
6438,Ashram Ground Tent 3,5991,Ashram Supplied Ground Tent,0,0,0
5996,Ashram Ground Tent 4,5991,Ashram Supplied Ground Tent,0,0,0
5992,Ashram Ground Tent 6,5991,Ashram Supplied Ground Tent,0,0,0
92,Beach Hut E1,35,Beach Hut (Shared),0,0,0
93,Beach Hut E2,35,Beach Hut (Shared),0,0,0
94,Beach Hut E3,35,Beach Hut (Shared),0,0,0
95,Beach Hut E4,35,Beach Hut (Shared),0,0,0
96,Beach Hut E5,35,Beach Hut (Shared),0,0,0
97,Beach Hut E6,35,Beach Hut (Shared),0,0,0
403,Beach Hut W1,35,Beach Hut (Shared),0,0,0
404,Beach Hut W2,35,Beach Hut (Shared),0,0,0
405,Beach Hut W3,35,Beach Hut (Shared),0,0,0
406,Beach Hut W4,35,Beach Hut (Shared),0,0,0
407,Beach Hut W5,35,Beach Hut (Shared),0,0,0
408,Beach Hut W6,35,Beach Hut (Shared),0,0,0
82,Dwaraka 01,42,Staff Residence,0,0,0
84,Dwaraka 02,42,Staff Residence,0,0,0
85,Dwaraka 03,42,Staff Residence,0,0,0
86,Dwaraka 04,42,Staff Residence,0,0,0
87,Dwaraka 05,42,Staff Residence,0,0,0
88,Dwaraka 06,42,Staff Residence,0,0,0
89,Dwaraka 07,42,Staff Residence,0,0,0
90,Dwaraka 08,42,Staff Residence,0,0,0
91,Dwaraka 09,42,Staff Residence,0,0,0
83,Dwaraka 10,42,Staff Residence,0,0,0
114,Ganga 1,36,Beachfront Deluxe (Private),0,0,0
115,Ganga 2,36,Beachfront Deluxe (Private),0,0,0
116,Ganga 3,36,Beachfront Deluxe (Private),0,0,0
117,Ganga 4,36,Beachfront Deluxe (Private),0,0,0
118,Gopala,42,Staff Residence,0,0,0
127,Kutir Hamsa,42,Staff Residence,0,0,0
119,Kutir Iswari,42,Staff Residence,0,0,0
129,Kutir Jnaneshwari Chaitanya,42,Staff Residence,0,0,0
130,Kutir Lakshmi,42,Staff Residence,0,0,0
588,Kutir Priest,42,Staff Residence,0,0,0
126,Kutir Rukmini Chaitanya,42,Staff Residence,0,0,0
128,Kutir Swami Brahmananda,42,Staff Residence,0,0,0
131,Kutir Swami Hridyananda,42,Staff Residence,0,0,0
190,Meditation Room,43,External Accommodation,0,0,0
191,Nassau 01,43,External Accommodation,0,0,0
202,Nassau 02,43,External Accommodation,0,0,0
204,Nassau 03,43,External Accommodation,0,0,0
205,Nassau 04,43,External Accommodation,0,0,0
206,Nassau 05,43,External Accommodation,0,0,0
207,Nassau 06,43,External Accommodation,0,0,0
208,Nassau 07,43,External Accommodation,0,0,0
209,Nassau 08,43,External Accommodation,0,0,0
210,Nassau 09,43,External Accommodation,0,0,0
192,Nassau 10,43,External Accommodation,0,0,0
247,OM1,46,Single Room,0,0,0
250,OM2,40,Twin Bed (Shared),0,0,0
251,OM3,38,Family Room,0,0,0
252,OM4,41,Double Bed Room (Private),0,0,0
253,OM5,46,Single Room,0,0,0
255,OM7,46,Single Room,0,0,0
256,OM8,40,Twin Bed (Shared),0,0,0
257,OM9,38,Family Room,0,0,0
248,OM10,41,Double Bed Room (Private),0,0,0
249,OM11,40,Twin Bed (Shared),0,0,0
258,Om Sweet Om,43,External Accommodation,0,0,0
6534,Platform A-9,47,Platform Tent,0,0,0
79,Platform A-10,47,Platform Tent,0,0,0
267,Platform A-11,47,Platform Tent,0,0,0
268,Platform A-12,47,Platform Tent,0,0,0
269,Platform A-13,47,Platform Tent,0,0,0
270,Platform A-14,47,Platform Tent,0,0,0
272,Platform B-1 (WBC),47,Platform Tent,0,0,0
271,Platform B-2 (WBC),47,Platform Tent,0,0,0
273,Platform B-3 (WBC),47,Platform Tent,0,0,0
274,Platform B-4 (WBC),47,Platform Tent,0,0,0
275,Platform B-5 (WBC),47,Platform Tent,0,0,0
5973,Platform B-6,47,Platform Tent,0,0,0
276,Platform G-1 (WBC),47,Platform Tent,0,0,0
277,Platform G-2,47,Platform Tent,0,0,0
278,Platform G-3,47,Platform Tent,0,0,0
279,Platform G-4,47,Platform Tent,0,0,0
280,Platform G-5,47,Platform Tent,0,0,0
281,Platform G-6,47,Platform Tent,0,0,0
282,Platform G-7,47,Platform Tent,0,0,0
283,Platform G-8,47,Platform Tent,0,0,0
284,Platform G-9,47,Platform Tent,0,0,0
285,Platform G-10,47,Platform Tent,0,0,0
286,Platform G-11 (WBC),47,Platform Tent,0,0,0
259,Saraswati 1,44,Oceanview Deluxe (Private),0,0,0
260,Saraswati 2,44,Oceanview Deluxe (Private),0,0,0
261,Saraswati 3,44,Oceanview Deluxe (Private),0,0,0
262,Saraswati 4,44,Oceanview Deluxe (Private),0,0,0
263,Saraswati 5,44,Oceanview Deluxe (Private),0,0,0
264,Saraswati 6,44,Oceanview Deluxe (Private),0,0,0
265,Saraswati 7,44,Oceanview Deluxe (Private),0,0,0
